route_id,service_id,trip_id,trip_headsign,block_id,wheelchair_accessible,trip_direction_name,exceptional
1,1,1-26,1-26,1-26,NA,NA,NA
1,1,1-27,1-27,1-27,NA,NA,NA
1,1,1-28,1-28,1-28,NA,NA,NA
1,1,1-29,1-29,1-29,NA,NA,NA
1,1,1-30,1-30,1-30,NA,NA,NA
1,1,1-31,1-31,1-31,NA,NA,NA
1,1,1-32,1-32,1-32,NA,NA,NA
1,1,1-33,1-33,1-33,NA,NA,NA
2,2,2-0,2-0,2-0,NA,NA,NA
2,2,2-1,2-1,2-1,NA,NA,NA
2,2,2-2,2-2,2-2,NA,NA,NA
2,2,2-3,2-3,2-3,NA,NA,NA
2,2,2-4,2-4,2-4,NA,NA,NA
2,2,2-5,2-5,2-5,NA,NA,NA
2,2,2-6,2-6,2-6,NA,NA,NA
2,2,2-7,2-7,2-7,NA,NA,NA
2,2,2-8,2-8,2-8,NA,NA,NA
2,2,2-9,2-9,2-9,NA,NA,NA
2,2,2-10,2-10,2-10,NA,NA,NA
2,2,2-11,2-11,2-11,NA,NA,NA
2,2,2-12,2-12,2-12,NA,NA,NA
2,2,2-13,2-13,2-13,NA,NA,NA
2,2,2-14,2-14,2-14,NA,NA,NA
2,2,2-15,2-15,2-15,NA,NA,NA
2,2,2-16,2-16,2-16,NA,NA,NA
2,2,2-17,2-17,2-17,NA,NA,NA
2,2,2-18,2-18,2-18,NA,NA,NA
2,2,2-19,2-19,2-19,NA,NA,NA
2,2,2-20,2-20,2-20,NA,NA,NA
2,2,2-21,2-21,2-21,NA,NA,NA
2,2,2-22,2-22,2-22,NA,NA,NA
2,2,2-23,2-23,2-23,NA,NA,NA
2,2,2-24,2-24,2-24,NA,NA,NA
2,2,2-25,2-25,2-25,NA,NA,NA
2,2,2-26,2-26,2-26,NA,NA,NA
2,2,2-27,2-27,2-27,NA,NA,NA
2,2,2-28,2-28,2-28,NA,NA,NA
2,2,2-29,2-29,2-29,NA,NA,NA
2,2,2-30,2-30,2-30,NA,NA,NA
2,2,2-31,2-31,2-31,NA,NA,NA
2,2,2-32,2-32,2-32,NA,NA,NA
2,2,2-33,2-33,2-33,NA,NA,NA
3,3,3-0,3-0,3-0,NA,NA,NA
3,3,3-1,3-1,3-1,NA,NA,NA
3,3,3-2,3-2,3-2,NA,NA,NA
3,3,3-3,3-3,3-3,NA,NA,NA
3,3,3-4,3-4,3-4,NA,NA,NA
3,3,3-5,3-5,3-5,NA,NA,NA
3,3,3-6,3-6,3-6,NA,NA,NA
3,3,3-7,3-7,3-7,NA,NA,NA
3,3,3-8,3-8,3-8,NA,NA,NA
3,3,3-9,3-9,3-9,NA,NA,NA
3,3,3-10,3-10,3-10,NA,NA,NA
3,3,3-11,3-11,3-11,NA,NA,NA
3,3,3-12,3-12,3-12,NA,NA,NA
3,3,3-13,3-13,3-13,NA,NA,NA
3,3,3-14,3-14,3-14,NA,NA,NA
3,3,3-15,3-15,3-15,NA,NA,NA
3,3,3-16,3-16,3-16,NA,NA,NA
3,3,3-17,3-17,3-17,NA,NA,NA
3,3,3-18,3-18,3-18,NA,NA,NA
3,3,3-19,3-19,3-19,NA,NA,NA
3,3,3-20,3-20,3-20,NA,NA,NA
3,3,3-21,3-21,3-21,NA,NA,NA
3,3,3-22,3-22,3-22,NA,NA,NA
3,3,3-23,3-23,3-23,NA,NA,NA
3,3,3-24,3-24,3-24,NA,NA,NA
3,3,3-25,3-25,3-25,NA,NA,NA
3,3,3-26,3-26,3-26,NA,NA,NA
3,3,3-27,3-27,3-27,NA,NA,NA
3,3,3-28,3-28,3-28,NA,NA,NA
3,3,3-29,3-29,3-29,NA,NA,NA
3,3,3-30,3-30,3-30,NA,NA,NA
3,3,3-31,3-31,3-31,NA,NA,NA
3,3,3-32,3-32,3-32,NA,NA,NA
3,3,3-33,3-33,3-33,NA,NA,NA
