,hh_index,area_id,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_cars,p_hh_index,adult,gender,employment,occupation,main_activity,main_activity_id,main_facility_area,main_facility_zone,mode,hh_income_bin,age_bin
114,41.0,43.0,43.4,4.0,0.0,1.0,1.0,2.0,1,1,0,0,0,4,354.0,36.0,36.2,0.0,3,51
115,41.0,43.0,43.4,4.0,0.0,1.0,1.0,2.0,2,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
116,41.0,43.0,43.4,4.0,0.0,1.0,1.0,2.0,3,1,0,0,0,4,122.0,16.0,16.3,3.0,3,51
133,49.0,32.0,32.6,2.0,0.0,2.0,1.0,1.0,0,1,0,3,1,1,732.0,19.0,19.6,1.0,1,51
134,49.0,32.0,32.6,2.0,0.0,2.0,1.0,1.0,1,1,0,3,1,1,236.0,10.0,10.6,0.0,1,51
138,51.0,30.0,30.4,4.0,0.0,4.0,1.0,2.0,0,1,1,3,1,1,386.0,7.0,7.12,3.0,2,51
139,51.0,30.0,30.4,4.0,0.0,4.0,1.0,2.0,1,1,1,3,1,1,1015.0,27.0,27.3,0.0,2,51
140,51.0,30.0,30.4,4.0,0.0,4.0,1.0,2.0,2,1,0,3,1,1,47.0,20.0,20.1,0.0,2,51
141,51.0,30.0,30.4,4.0,0.0,4.0,1.0,2.0,3,1,0,3,1,1,183.0,28.0,28.0,0.0,2,51
142,52.0,28.0,28.3,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,51
153,57.0,31.0,31.0,3.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
154,57.0,31.0,31.0,3.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,51
155,57.0,31.0,31.0,3.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
156,58.0,29.0,29.1,2.0,0.0,1.0,1.0,0.0,0,1,0,3,2,1,215.0,18.0,18.1,0.0,2,61
157,58.0,29.0,29.1,2.0,0.0,1.0,1.0,0.0,1,1,0,0,0,5,7.0,23.0,23.0,3.0,2,61
180,65.0,28.0,28.2,5.0,2.0,3.0,1.0,1.0,0,1,1,3,1,1,753.0,36.0,36.3,0.0,2,21
181,65.0,28.0,28.2,5.0,2.0,3.0,1.0,1.0,1,1,0,3,1,1,749.0,23.0,23.2,0.0,2,21
182,65.0,28.0,28.2,5.0,2.0,3.0,1.0,1.0,2,1,1,3,1,1,770.0,44.0,44.2,0.0,2,21
183,65.0,28.0,28.2,5.0,2.0,3.0,1.0,1.0,3,0,0,2,0,2,15.0,25.0,25.8,0.0,2,0
184,65.0,28.0,28.2,5.0,2.0,3.0,1.0,1.0,4,0,0,2,0,2,12.0,28.0,28.2,1.0,2,4
194,70.0,24.0,24.1,2.0,0.0,2.0,1.0,1.0,0,1,0,3,1,1,492.0,7.0,7.0,0.0,2,61
195,70.0,24.0,24.1,2.0,0.0,2.0,1.0,1.0,1,1,0,3,1,1,703.0,45.0,45.2,2.0,2,51
196,71.0,33.0,33.1,5.0,0.0,4.0,1.0,2.0,0,1,1,3,2,1,43.0,19.0,19.3,3.0,3,51
197,71.0,33.0,33.1,5.0,0.0,4.0,1.0,2.0,1,1,0,3,2,1,422.0,16.0,16.2,0.0,3,41
198,71.0,33.0,33.1,5.0,0.0,4.0,1.0,2.0,2,1,0,3,3,1,105.0,25.0,25.8,1.0,3,51
199,71.0,33.0,33.1,5.0,0.0,4.0,1.0,2.0,3,1,0,3,1,1,129.0,18.0,18.2,0.0,3,51
200,71.0,33.0,33.1,5.0,0.0,4.0,1.0,2.0,4,1,0,3,1,1,934.0,24.0,24.2,1.0,3,41
206,73.0,25.0,25.5,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,1,835.0,28.0,28.3,0.0,1,61
216,76.0,26.0,26.2,2.0,0.0,1.0,1.0,0.0,0,1,1,3,1,1,861.0,36.0,36.4,0.0,0,51
217,76.0,26.0,26.2,2.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,51
218,77.0,25.0,25.3,3.0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,21
219,77.0,25.0,25.3,3.0,1.0,0.0,0.0,0.0,1,1,0,3,1,1,392.0,7.0,7.6,0.0,0,31
220,77.0,25.0,25.3,3.0,1.0,0.0,0.0,0.0,2,0,1,2,0,2,78.0,47.0,47.1,0.0,0,0
221,78.0,22.0,22.2,2.0,1.0,1.0,1.0,0.0,0,1,0,3,1,1,849.0,46.0,46.8,0.0,0,31
222,78.0,22.0,22.2,2.0,1.0,1.0,1.0,0.0,1,0,1,2,0,2,54.0,5.0,5.0,0.0,0,0
223,79.0,39.0,39.0,3.0,0.0,2.0,1.0,0.0,0,1,1,3,1,1,230.0,16.0,16.1,0.0,2,31
224,79.0,39.0,39.0,3.0,0.0,2.0,1.0,0.0,1,1,1,3,1,1,134.0,28.0,28.1,0.0,2,31
225,79.0,39.0,39.0,3.0,0.0,2.0,1.0,0.0,2,1,1,1,0,4,9.0,27.0,27.2,0.0,2,31
227,81.0,21.0,21.3,3.0,0.0,2.0,1.0,3.0,0,1,0,3,1,1,215.0,18.0,18.1,0.0,3,51
228,81.0,21.0,21.3,3.0,0.0,2.0,1.0,3.0,1,1,0,3,2,1,140.0,24.0,24.0,0.0,3,41
229,81.0,21.0,21.3,3.0,0.0,2.0,1.0,3.0,2,1,1,1,0,0,-1.0,-1.0,-1.0,-1.0,3,41
256,90.0,25.0,25.8,4.0,0.0,4.0,1.0,2.0,0,1,1,3,1,1,616.0,25.0,25.2,0.0,2,51
257,90.0,25.0,25.8,4.0,0.0,4.0,1.0,2.0,1,1,0,3,1,1,71.0,23.0,23.0,2.0,2,51
258,90.0,25.0,25.8,4.0,0.0,4.0,1.0,2.0,2,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,2,51
259,90.0,25.0,25.8,4.0,0.0,4.0,1.0,2.0,3,1,0,3,2,0,-1.0,-1.0,-1.0,-1.0,2,51
268,93.0,28.0,28.3,4.0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,-1.0,-1.0,-1.0,-1.0,0,21
269,93.0,28.0,28.3,4.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,21
270,93.0,28.0,28.3,4.0,1.0,0.0,0.0,0.0,2,1,1,1,0,5,6.0,28.0,28.1,0.0,0,21
271,93.0,28.0,28.3,4.0,1.0,0.0,0.0,0.0,3,0,0,2,0,2,3.0,27.0,27.2,0.0,0,4
274,95.0,42.0,42.0,5.0,0.0,4.0,1.0,1.0,0,1,0,3,1,1,1009.0,8.0,8.2,0.0,3,51
275,95.0,42.0,42.0,5.0,0.0,4.0,1.0,1.0,1,1,0,3,1,1,271.0,17.0,17.4,2.0,3,41
276,95.0,42.0,42.0,5.0,0.0,4.0,1.0,1.0,2,1,1,3,2,1,710.0,46.0,46.5,0.0,3,51
277,95.0,42.0,42.0,5.0,0.0,4.0,1.0,1.0,3,1,0,3,2,1,270.0,7.0,7.0,0.0,3,51
278,95.0,42.0,42.0,5.0,0.0,4.0,1.0,1.0,4,1,0,0,0,5,108.0,45.0,45.1,3.0,3,41
301,102.0,46.0,46.1,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,1,225.0,14.0,14.2,2.0,1,51
302,103.0,32.0,32.6,3.0,1.0,2.0,1.0,1.0,0,1,0,3,1,1,856.0,47.0,47.8,3.0,1,41
303,103.0,32.0,32.6,3.0,1.0,2.0,1.0,1.0,1,1,0,3,1,1,318.0,17.0,17.2,0.0,1,41
304,103.0,32.0,32.6,3.0,1.0,2.0,1.0,1.0,2,0,0,2,0,2,92.0,36.0,36.3,0.0,1,0
312,107.0,39.0,39.3,5.0,2.0,2.0,1.0,0.0,0,1,1,3,2,1,5.0,22.0,22.0,0.0,2,21
313,107.0,39.0,39.3,5.0,2.0,2.0,1.0,0.0,1,1,0,3,2,5,104.0,26.0,26.1,0.0,2,21
314,107.0,39.0,39.3,5.0,2.0,2.0,1.0,0.0,2,1,1,3,1,1,373.0,40.0,40.1,0.0,2,21
315,107.0,39.0,39.3,5.0,2.0,2.0,1.0,0.0,3,0,0,2,0,2,19.0,12.0,12.6,0.0,2,4
316,107.0,39.0,39.3,5.0,2.0,2.0,1.0,0.0,4,0,1,2,0,2,55.0,3.0,3.0,0.0,2,4
317,108.0,24.0,24.9,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,0,51
329,114.0,28.0,28.1,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,1,21.0,37.0,37.3,0.0,0,61
338,117.0,44.0,44.1,4.0,0.0,3.0,1.0,1.0,0,1,0,3,1,1,493.0,19.0,19.4,0.0,3,21
339,117.0,44.0,44.1,4.0,0.0,3.0,1.0,1.0,1,1,1,3,2,1,125.0,24.0,24.1,3.0,3,21
340,117.0,44.0,44.1,4.0,0.0,3.0,1.0,1.0,2,1,0,3,1,1,160.0,24.0,24.8,0.0,3,21
341,117.0,44.0,44.1,4.0,0.0,3.0,1.0,1.0,3,1,1,3,1,1,106.0,43.0,43.2,0.0,3,21
351,121.0,29.0,29.0,4.0,0.0,2.0,1.0,0.0,0,1,0,3,1,1,954.0,28.0,28.1,0.0,3,51
352,121.0,29.0,29.0,4.0,0.0,2.0,1.0,0.0,1,1,0,3,1,1,649.0,24.0,24.8,0.0,3,51
353,121.0,29.0,29.0,4.0,0.0,2.0,1.0,0.0,2,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41
354,121.0,29.0,29.0,4.0,0.0,2.0,1.0,0.0,3,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
360,123.0,30.0,30.8,2.0,0.0,2.0,1.0,0.0,0,1,1,3,1,1,858.0,47.0,47.4,0.0,1,61
361,123.0,30.0,30.8,2.0,0.0,2.0,1.0,0.0,1,1,0,3,1,1,758.0,20.0,20.2,0.0,1,61
367,126.0,30.0,30.6,4.0,0.0,4.0,1.0,1.0,0,1,0,3,1,1,117.0,24.0,24.9,0.0,3,31
368,126.0,30.0,30.6,4.0,0.0,4.0,1.0,1.0,1,1,0,3,1,1,639.0,43.0,43.4,0.0,3,31
369,126.0,30.0,30.6,4.0,0.0,4.0,1.0,1.0,2,1,0,3,3,1,750.0,43.0,43.5,2.0,3,31
370,126.0,30.0,30.6,4.0,0.0,4.0,1.0,1.0,3,1,0,3,2,1,828.0,45.0,45.2,0.0,3,31
380,130.0,25.0,25.8,1.0,0.0,1.0,1.0,0.0,0,1,1,3,1,1,786.0,23.0,23.0,0.0,1,31
394,135.0,22.0,22.0,5.0,1.0,4.0,1.0,1.0,0,1,1,3,1,0,-1.0,-1.0,-1.0,-1.0,3,21
395,135.0,22.0,22.0,5.0,1.0,4.0,1.0,1.0,1,1,1,3,1,1,75.0,23.0,23.2,0.0,3,16
396,135.0,22.0,22.0,5.0,1.0,4.0,1.0,1.0,2,1,1,2,0,0,-1.0,-1.0,-1.0,-1.0,3,16
397,135.0,22.0,22.0,5.0,1.0,4.0,1.0,1.0,3,1,0,3,1,1,877.0,47.0,47.8,3.0,3,21
398,135.0,22.0,22.0,5.0,1.0,4.0,1.0,1.0,4,0,0,2,0,2,23.0,12.0,12.0,2.0,3,4
403,137.0,19.0,19.5,5.0,0.0,1.0,1.0,1.0,0,1,1,3,2,1,604.0,25.0,25.3,0.0,3,51
404,137.0,19.0,19.5,5.0,0.0,1.0,1.0,1.0,1,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
405,137.0,19.0,19.5,5.0,0.0,1.0,1.0,1.0,2,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
406,137.0,19.0,19.5,5.0,0.0,1.0,1.0,1.0,3,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
407,137.0,19.0,19.5,5.0,0.0,1.0,1.0,1.0,4,1,0,0,0,3,14.0,24.0,24.2,2.0,3,51
412,139.0,24.0,24.8,4.0,0.0,3.0,1.0,3.0,0,1,0,3,3,1,646.0,22.0,22.0,0.0,3,51
413,139.0,24.0,24.8,4.0,0.0,3.0,1.0,3.0,1,1,1,3,2,1,931.0,46.0,46.1,2.0,3,51
414,139.0,24.0,24.8,4.0,0.0,3.0,1.0,3.0,2,1,0,3,2,1,992.0,41.0,41.1,0.0,3,61
415,139.0,24.0,24.8,4.0,0.0,3.0,1.0,3.0,3,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,3,61
419,142.0,30.0,30.6,4.0,3.0,1.0,1.0,0.0,0,1,1,3,1,1,746.0,32.0,32.4,0.0,1,21
420,142.0,30.0,30.6,4.0,3.0,1.0,1.0,0.0,1,0,1,2,0,2,6.0,30.0,30.3,0.0,1,0
421,142.0,30.0,30.6,4.0,3.0,1.0,1.0,0.0,2,0,1,2,0,2,58.0,16.0,16.3,0.0,1,13
422,142.0,30.0,30.6,4.0,3.0,1.0,1.0,0.0,3,0,0,2,0,2,15.0,25.0,25.8,0.0,1,4
432,147.0,22.0,22.0,4.0,1.0,1.0,1.0,1.0,0,1,0,3,1,1,408.0,14.0,14.2,3.0,1,31
433,147.0,22.0,22.0,4.0,1.0,1.0,1.0,1.0,1,1,1,1,0,4,457.0,40.0,40.0,0.0,1,31
434,147.0,22.0,22.0,4.0,1.0,1.0,1.0,1.0,2,1,0,1,0,4,465.0,32.0,32.6,0.0,1,31
435,147.0,22.0,22.0,4.0,1.0,1.0,1.0,1.0,3,0,0,2,0,2,46.0,21.0,21.1,0.0,1,4
436,148.0,28.0,28.2,2.0,0.0,2.0,1.0,2.0,0,1,0,3,2,1,475.0,13.0,13.2,2.0,2,51
437,148.0,28.0,28.2,2.0,0.0,2.0,1.0,2.0,1,1,0,3,2,1,92.0,29.0,29.1,0.0,2,51
442,150.0,25.0,25.3,5.0,2.0,3.0,1.0,1.0,0,1,0,3,1,1,980.0,29.0,29.0,0.0,3,21
443,150.0,25.0,25.3,5.0,2.0,3.0,1.0,1.0,1,1,1,3,1,1,794.0,47.0,47.11,0.0,3,21
444,150.0,25.0,25.3,5.0,2.0,3.0,1.0,1.0,2,1,0,3,1,1,8.0,21.0,21.2,0.0,3,21
445,150.0,25.0,25.3,5.0,2.0,3.0,1.0,1.0,3,0,0,2,0,2,61.0,30.0,30.6,2.0,3,4
446,150.0,25.0,25.3,5.0,2.0,3.0,1.0,1.0,4,0,1,2,0,2,86.0,46.0,46.6,2.0,3,4
447,151.0,28.0,28.2,1.0,0.0,1.0,1.0,0.0,0,1,0,3,2,1,417.0,8.0,8.2,0.0,1,51
448,152.0,30.0,30.6,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,1,61
462,158.0,31.0,31.0,4.0,1.0,2.0,1.0,0.0,0,1,1,2,0,2,9.0,43.0,43.5,0.0,0,16
463,158.0,31.0,31.0,4.0,1.0,2.0,1.0,0.0,1,1,0,2,0,2,82.0,35.0,35.0,0.0,0,16
464,158.0,31.0,31.0,4.0,1.0,2.0,1.0,0.0,2,1,1,1,0,4,224.0,6.0,6.0,0.0,0,16
465,158.0,31.0,31.0,4.0,1.0,2.0,1.0,0.0,3,0,1,2,0,2,85.0,44.0,44.3,0.0,0,4
466,159.0,26.0,26.1,1.0,0.0,1.0,1.0,0.0,0,1,0,3,1,1,1016.0,36.0,36.2,0.0,0,31
469,161.0,18.0,18.2,4.0,0.0,1.0,1.0,1.0,0,1,1,3,2,1,207.0,10.0,10.9,0.0,3,51
470,161.0,18.0,18.2,4.0,0.0,1.0,1.0,1.0,1,1,0,0,0,4,301.0,26.0,26.2,0.0,3,51
471,161.0,18.0,18.2,4.0,0.0,1.0,1.0,1.0,2,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
472,161.0,18.0,18.2,4.0,0.0,1.0,1.0,1.0,3,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,3,51
473,162.0,45.0,45.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,4,375.0,21.0,21.2,0.0,0,51
484,166.0,25.0,25.1,2.0,1.0,1.0,1.0,0.0,0,1,1,3,1,1,315.0,14.0,14.0,0.0,1,21
485,166.0,25.0,25.1,2.0,1.0,1.0,1.0,0.0,1,0,0,2,0,2,62.0,32.0,32.7,0.0,1,4
486,167.0,41.0,41.1,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
492,169.0,24.0,24.1,2.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
493,169.0,24.0,24.1,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0,4,282.0,41.0,41.1,0.0,0,61
496,171.0,32.0,32.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
497,171.0,32.0,32.6,2.0,0.0,0.0,0.0,0.0,1,1,2,0,0,0,-1.0,-1.0,-1.0,-1.0,0,61
503,174.0,43.0,43.4,5.0,2.0,3.0,1.0,1.0,0,1,1,2,0,2,77.0,38.0,38.3,1.0,3,16
504,174.0,43.0,43.4,5.0,2.0,3.0,1.0,1.0,1,1,1,2,0,2,63.0,41.0,41.3,0.0,3,16
505,174.0,43.0,43.4,5.0,2.0,3.0,1.0,1.0,2,1,0,2,0,2,29.0,10.0,10.5,3.0,3,16
506,174.0,43.0,43.4,5.0,2.0,3.0,1.0,1.0,3,0,0,2,0,2,83.0,42.0,42.2,2.0,3,4
507,174.0,43.0,43.4,5.0,2.0,3.0,1.0,1.0,4,0,1,2,0,2,3.0,27.0,27.2,0.0,3,4
508,175.0,28.0,28.0,2.0,0.0,1.0,1.0,0.0,0,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,1,41
509,175.0,28.0,28.0,2.0,0.0,1.0,1.0,0.0,1,1,0,3,1,1,84.0,25.0,25.8,2.0,1,31
516,178.0,26.0,26.3,1.0,0.0,1.0,1.0,0.0,0,1,1,3,1,0,-1.0,-1.0,-1.0,-1.0,0,51
524,183.0,30.0,30.7,1.0,0.0,1.0,1.0,0.0,0,1,0,3,2,1,607.0,30.0,30.8,0.0,1,61
529,186.0,22.0,22.3,5.0,0.0,4.0,1.0,2.0,0,1,0,3,2,1,263.0,14.0,14.3,3.0,3,31
530,186.0,22.0,22.3,5.0,0.0,4.0,1.0,2.0,1,1,0,3,1,1,939.0,44.0,44.2,0.0,3,21
531,186.0,22.0,22.3,5.0,0.0,4.0,1.0,2.0,2,1,0,3,1,1,53.0,29.0,29.2,0.0,3,31
532,186.0,22.0,22.3,5.0,0.0,4.0,1.0,2.0,3,1,0,3,2,1,676.0,44.0,44.2,0.0,3,31
533,186.0,22.0,22.3,5.0,0.0,4.0,1.0,2.0,4,1,0,3,1,1,385.0,8.0,8.1,0.0,3,31
539,188.0,24.0,24.2,2.0,0.0,0.0,0.0,0.0,0,1,0,3,1,1,488.0,5.0,5.3,0.0,0,41
540,188.0,24.0,24.2,2.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,0,41
580,199.0,28.0,28.0,3.0,1.0,1.0,1.0,2.0,0,1,0,3,1,1,144.0,25.0,25.4,3.0,1,31
581,199.0,28.0,28.0,3.0,1.0,1.0,1.0,2.0,1,1,1,1,0,0,-1.0,-1.0,-1.0,-1.0,1,31
582,199.0,28.0,28.0,3.0,1.0,1.0,1.0,2.0,2,0,0,2,0,2,85.0,44.0,44.3,0.0,1,4
583,200.0,22.0,22.0,2.0,0.0,1.0,1.0,0.0,0,1,1,3,2,1,777.0,32.0,32.2,0.0,2,51
584,200.0,22.0,22.0,2.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,2,51
585,201.0,30.0,30.1,3.0,2.0,1.0,1.0,0.0,0,1,0,3,1,1,198.0,1.0,1.2,0.0,1,21
586,201.0,30.0,30.1,3.0,2.0,1.0,1.0,0.0,1,0,0,2,0,0,-1.0,-1.0,-1.0,-1.0,1,4
587,201.0,30.0,30.1,3.0,2.0,1.0,1.0,0.0,2,0,2,2,0,2,1.0,42.0,42.4,0.0,1,4
599,205.0,30.0,30.6,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,51
600,205.0,30.0,30.6,3.0,0.0,0.0,0.0,0.0,1,1,1,0,0,5,99.0,41.0,41.2,0.0,0,51
601,205.0,30.0,30.6,3.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,51
607,207.0,26.0,26.2,4.0,1.0,0.0,0.0,0.0,0,1,1,3,1,0,-1.0,-1.0,-1.0,-1.0,0,16
608,207.0,26.0,26.2,4.0,1.0,0.0,0.0,0.0,1,1,0,3,1,1,824.0,42.0,42.4,3.0,0,16
609,207.0,26.0,26.2,4.0,1.0,0.0,0.0,0.0,2,1,0,3,1,1,670.0,42.0,42.5,0.0,0,13
610,207.0,26.0,26.2,4.0,1.0,0.0,0.0,0.0,3,0,0,2,0,2,60.0,12.0,12.3,0.0,0,0
626,212.0,30.0,30.5,5.0,2.0,1.0,1.0,2.0,0,1,0,2,0,2,98.0,42.0,42.6,0.0,0,16
627,212.0,30.0,30.5,5.0,2.0,1.0,1.0,2.0,1,1,0,3,1,1,471.0,19.0,19.4,0.0,0,16
628,212.0,30.0,30.5,5.0,2.0,1.0,1.0,2.0,2,1,1,3,1,1,570.0,25.0,25.7,1.0,0,16
629,212.0,30.0,30.5,5.0,2.0,1.0,1.0,2.0,3,0,1,2,0,2,58.0,16.0,16.3,0.0,0,0
630,212.0,30.0,30.5,5.0,2.0,1.0,1.0,2.0,4,0,1,2,0,2,52.0,19.0,19.0,0.0,0,4
650,218.0,38.0,38.2,2.0,0.0,0.0,0.0,0.0,0,1,0,1,0,4,421.0,46.0,46.5,0.0,0,41
651,218.0,38.0,38.2,2.0,0.0,0.0,0.0,0.0,1,1,0,3,1,1,1008.0,37.0,37.3,0.0,0,41
660,221.0,26.0,26.3,3.0,0.0,3.0,1.0,0.0,0,1,0,3,1,1,972.0,37.0,37.0,0.0,1,41
661,221.0,26.0,26.3,3.0,0.0,3.0,1.0,0.0,1,1,0,3,2,1,106.0,43.0,43.2,0.0,1,51
662,221.0,26.0,26.3,3.0,0.0,3.0,1.0,0.0,2,1,0,3,1,1,395.0,19.0,19.6,0.0,1,41
680,227.0,40.0,40.2,5.0,3.0,2.0,1.0,1.0,0,1,0,3,2,1,124.0,28.0,28.0,1.0,1,21
681,227.0,40.0,40.2,5.0,3.0,2.0,1.0,1.0,1,1,0,3,1,1,371.0,18.0,18.0,2.0,1,21
682,227.0,40.0,40.2,5.0,3.0,2.0,1.0,1.0,2,0,2,2,0,2,35.0,16.0,16.1,0.0,1,4
683,227.0,40.0,40.2,5.0,3.0,2.0,1.0,1.0,3,0,0,2,0,2,90.0,41.0,41.1,2.0,1,4
684,227.0,40.0,40.2,5.0,3.0,2.0,1.0,1.0,4,0,0,2,0,2,86.0,46.0,46.6,0.0,1,4
690,229.0,22.0,22.0,5.0,2.0,1.0,1.0,0.0,0,1,0,3,1,0,-1.0,-1.0,-1.0,-1.0,2,21
691,229.0,22.0,22.0,5.0,2.0,1.0,1.0,0.0,1,1,2,3,1,1,698.0,46.0,46.4,0.0,2,31
692,229.0,22.0,22.0,5.0,2.0,1.0,1.0,0.0,2,1,0,3,1,1,722.0,45.0,45.0,0.0,2,21
693,229.0,22.0,22.0,5.0,2.0,1.0,1.0,0.0,3,0,0,2,0,2,98.0,42.0,42.6,0.0,2,0
694,229.0,22.0,22.0,5.0,2.0,1.0,1.0,0.0,4,0,1,2,0,2,93.0,42.0,42.1,0.0,2,4
695,230.0,38.0,38.0,4.0,1.0,1.0,1.0,3.0,0,1,1,3,1,1,773.0,45.0,45.3,2.0,3,21
696,230.0,38.0,38.0,4.0,1.0,1.0,1.0,3.0,1,1,2,3,2,1,932.0,46.0,46.1,0.0,3,16
697,230.0,38.0,38.0,4.0,1.0,1.0,1.0,3.0,2,1,1,3,1,1,243.0,17.0,17.3,0.0,3,21
