hh_index,zone_id,hh_count,hh_children,hh_people_in_work,hh_in_work,hh_income,hh_cars,p_hh_index,adult,gender,age,employment,occupation,main_activity,main_activity_id,mode
5.0,15.0,2.0,0.0,0.0,0.0,17000.0,0.0,1,1,1,64.0,0,0,5,27.0,1.0
6.0,64.0,3.0,0.0,2.0,1.0,35000.0,3.0,0,1,0,65.0,3,1,1,763.0,0.0
6.0,64.0,3.0,0.0,2.0,1.0,35000.0,3.0,1,1,0,59.0,3,1,1,178.0,0.0
6.0,64.0,3.0,0.0,2.0,1.0,35000.0,3.0,2,1,2,61.0,0,0,0,-1.0,-1.0
7.0,50.0,4.0,1.0,3.0,1.0,35000.0,1.0,0,1,0,27.0,3,1,1,308.0,0.0
7.0,50.0,4.0,1.0,3.0,1.0,35000.0,1.0,1,1,0,28.0,3,1,1,387.0,0.0
7.0,50.0,4.0,1.0,3.0,1.0,35000.0,1.0,2,1,0,30.0,3,1,1,827.0,0.0
7.0,50.0,4.0,1.0,3.0,1.0,35000.0,1.0,3,0,1,7.0,2,0,2,260.0,0.0
8.0,42.0,5.0,1.0,2.0,1.0,55000.0,3.0,0,1,1,21.0,3,1,1,176.0,0.0
8.0,42.0,5.0,1.0,2.0,1.0,55000.0,3.0,1,1,0,22.0,2,0,2,332.0,0.0
8.0,42.0,5.0,1.0,2.0,1.0,55000.0,3.0,2,1,1,23.0,3,1,1,765.0,2.0
8.0,42.0,5.0,1.0,2.0,1.0,55000.0,3.0,3,1,0,21.0,3,1,1,419.0,0.0
8.0,42.0,5.0,1.0,2.0,1.0,55000.0,3.0,4,0,1,5.0,2,0,2,270.0,0.0
9.0,47.0,2.0,0.0,2.0,1.0,90000.0,0.0,0,1,0,57.0,3,1,1,145.0,0.0
9.0,47.0,2.0,0.0,2.0,1.0,90000.0,0.0,1,1,0,54.0,3,2,1,716.0,0.0
10.0,42.0,5.0,2.0,2.0,1.0,20000.0,0.0,0,1,1,30.0,3,1,1,183.0,3.0
10.0,42.0,5.0,2.0,2.0,1.0,20000.0,0.0,1,1,1,32.0,3,1,1,407.0,0.0
10.0,42.0,5.0,2.0,2.0,1.0,20000.0,0.0,2,1,0,29.0,3,1,1,730.0,0.0
10.0,42.0,5.0,2.0,2.0,1.0,20000.0,0.0,3,0,1,4.0,2,0,0,-1.0,-1.0
10.0,42.0,5.0,2.0,2.0,1.0,20000.0,0.0,4,0,1,1.0,2,0,2,394.0,0.0
11.0,62.0,2.0,0.0,2.0,1.0,75000.0,2.0,0,1,1,56.0,3,1,1,8.0,0.0
11.0,62.0,2.0,0.0,2.0,1.0,75000.0,2.0,1,1,1,58.0,3,2,0,-1.0,-1.0
12.0,42.0,1.0,0.0,1.0,1.0,50000.0,1.0,0,1,0,58.0,3,3,1,319.0,2.0
13.0,46.0,5.0,1.0,3.0,1.0,45000.0,0.0,0,1,0,31.0,3,1,1,619.0,0.0
13.0,46.0,5.0,1.0,3.0,1.0,45000.0,0.0,1,1,1,31.0,3,1,1,124.0,0.0
13.0,46.0,5.0,1.0,3.0,1.0,45000.0,0.0,2,1,1,28.0,3,1,1,361.0,0.0
13.0,46.0,5.0,1.0,3.0,1.0,45000.0,0.0,3,1,1,28.0,1,0,0,-1.0,-1.0
13.0,46.0,5.0,1.0,3.0,1.0,45000.0,0.0,4,0,1,11.0,2,0,2,426.0,0.0
14.0,42.0,2.0,0.0,0.0,0.0,17000.0,0.0,0,1,0,68.0,0,0,0,-1.0,-1.0
14.0,42.0,2.0,0.0,0.0,0.0,17000.0,0.0,1,1,0,66.0,0,0,3,217.0,0.0
15.0,48.0,3.0,0.0,0.0,0.0,18000.0,0.0,0,1,0,57.0,0,0,5,16.0,0.0
15.0,48.0,3.0,0.0,0.0,0.0,18000.0,0.0,1,1,1,57.0,0,0,0,-1.0,-1.0
15.0,48.0,3.0,0.0,0.0,0.0,18000.0,0.0,2,1,0,57.0,0,0,0,-1.0,-1.0
16.0,48.0,5.0,0.0,1.0,1.0,50000.0,2.0,0,1,1,60.0,3,1,0,-1.0,-1.0
16.0,48.0,5.0,0.0,1.0,1.0,50000.0,2.0,1,1,0,62.0,0,0,5,33.0,0.0
16.0,48.0,5.0,0.0,1.0,1.0,50000.0,2.0,2,1,2,60.0,0,0,0,-1.0,-1.0
16.0,48.0,5.0,0.0,1.0,1.0,50000.0,2.0,3,1,0,62.0,0,0,0,-1.0,-1.0
16.0,48.0,5.0,0.0,1.0,1.0,50000.0,2.0,4,1,0,62.0,0,0,5,22.0,2.0
17.0,42.0,5.0,3.0,1.0,1.0,40000.0,0.0,0,1,1,22.0,3,1,1,619.0,0.0
17.0,42.0,5.0,3.0,1.0,1.0,40000.0,0.0,1,1,0,22.0,3,1,1,874.0,0.0
17.0,42.0,5.0,3.0,1.0,1.0,40000.0,0.0,2,0,0,12.0,2,0,2,326.0,0.0
17.0,42.0,5.0,3.0,1.0,1.0,40000.0,0.0,3,0,0,10.0,2,0,2,205.0,2.0
17.0,42.0,5.0,3.0,1.0,1.0,40000.0,0.0,4,0,1,7.0,2,0,2,390.0,0.0
18.0,46.0,1.0,0.0,1.0,1.0,25000.0,0.0,0,1,0,44.0,3,1,1,915.0,0.0
19.0,46.0,5.0,2.0,2.0,1.0,155000.0,3.0,0,1,0,28.0,3,1,1,216.0,3.0
19.0,46.0,5.0,2.0,2.0,1.0,155000.0,3.0,1,1,0,27.0,3,2,1,956.0,3.0
19.0,46.0,5.0,2.0,2.0,1.0,155000.0,3.0,2,1,0,26.0,3,2,1,274.0,0.0
19.0,46.0,5.0,2.0,2.0,1.0,155000.0,3.0,3,0,0,10.0,2,0,2,395.0,0.0
19.0,46.0,5.0,2.0,2.0,1.0,155000.0,3.0,4,0,0,14.0,2,0,2,263.0,0.0
20.0,42.0,1.0,0.0,1.0,1.0,30000.0,0.0,0,1,0,35.0,3,1,1,224.0,0.0
21.0,46.0,1.0,0.0,0.0,0.0,16000.0,1.0,0,1,2,67.0,0,0,3,256.0,0.0
22.0,47.0,4.0,0.0,3.0,1.0,40000.0,0.0,0,1,0,54.0,3,2,5,3.0,0.0
22.0,47.0,4.0,0.0,3.0,1.0,40000.0,0.0,1,1,0,53.0,3,1,1,219.0,0.0
22.0,47.0,4.0,0.0,3.0,1.0,40000.0,0.0,2,1,0,51.0,3,1,1,622.0,0.0
22.0,47.0,4.0,0.0,3.0,1.0,40000.0,0.0,3,1,2,54.0,0,0,0,-1.0,-1.0
23.0,42.0,5.0,2.0,2.0,1.0,40000.0,0.0,0,1,1,24.0,3,1,1,763.0,3.0
23.0,42.0,5.0,2.0,2.0,1.0,40000.0,0.0,1,1,0,25.0,3,1,1,435.0,0.0
23.0,42.0,5.0,2.0,2.0,1.0,40000.0,0.0,2,1,1,23.0,1,0,0,-1.0,-1.0
23.0,42.0,5.0,2.0,2.0,1.0,40000.0,0.0,3,0,0,6.0,2,0,2,355.0,0.0
23.0,42.0,5.0,2.0,2.0,1.0,40000.0,0.0,4,0,0,5.0,2,0,2,251.0,0.0
24.0,47.0,3.0,0.0,2.0,1.0,95000.0,1.0,0,1,0,54.0,3,2,1,527.0,2.0
24.0,47.0,3.0,0.0,2.0,1.0,95000.0,1.0,1,1,0,53.0,3,2,1,367.0,0.0
24.0,47.0,3.0,0.0,2.0,1.0,95000.0,1.0,2,1,2,53.0,0,0,0,-1.0,-1.0
25.0,47.0,4.0,0.0,3.0,1.0,40000.0,2.0,0,1,1,46.0,3,1,1,908.0,0.0
25.0,47.0,4.0,0.0,3.0,1.0,40000.0,2.0,1,1,0,47.0,3,1,1,705.0,0.0
25.0,47.0,4.0,0.0,3.0,1.0,40000.0,2.0,2,1,1,46.0,3,1,1,343.0,2.0
25.0,47.0,4.0,0.0,3.0,1.0,40000.0,2.0,3,1,0,49.0,1,0,3,850.0,0.0
26.0,49.0,4.0,1.0,2.0,1.0,30000.0,1.0,0,1,1,28.0,3,1,1,354.0,0.0
26.0,49.0,4.0,1.0,2.0,1.0,30000.0,1.0,1,1,0,31.0,3,1,1,846.0,0.0
26.0,49.0,4.0,1.0,2.0,1.0,30000.0,1.0,2,1,0,30.0,3,1,1,956.0,1.0
26.0,49.0,4.0,1.0,2.0,1.0,30000.0,1.0,3,0,1,4.0,2,0,2,85.0,0.0
27.0,49.0,3.0,0.0,0.0,0.0,18000.0,1.0,0,1,0,52.0,0,0,4,771.0,0.0
27.0,49.0,3.0,0.0,0.0,0.0,18000.0,1.0,1,1,1,52.0,0,0,3,721.0,3.0
27.0,49.0,3.0,0.0,0.0,0.0,18000.0,1.0,2,1,0,52.0,0,0,0,-1.0,-1.0
28.0,62.0,2.0,0.0,2.0,1.0,35000.0,0.0,0,1,0,73.0,3,1,1,359.0,2.0
28.0,62.0,2.0,0.0,2.0,1.0,35000.0,0.0,1,1,2,72.0,3,1,1,784.0,1.0
29.0,49.0,5.0,1.0,4.0,1.0,55000.0,0.0,0,1,1,32.0,3,1,1,914.0,0.0
29.0,49.0,5.0,1.0,4.0,1.0,55000.0,0.0,1,1,0,34.0,3,1,1,590.0,0.0
29.0,49.0,5.0,1.0,4.0,1.0,55000.0,0.0,2,1,0,31.0,3,1,1,462.0,0.0
29.0,49.0,5.0,1.0,4.0,1.0,55000.0,0.0,3,1,1,31.0,3,1,0,-1.0,-1.0
29.0,49.0,5.0,1.0,4.0,1.0,55000.0,0.0,4,0,0,13.0,2,0,2,358.0,0.0
30.0,49.0,3.0,1.0,2.0,1.0,50000.0,0.0,0,1,1,42.0,3,1,1,575.0,0.0
30.0,49.0,3.0,1.0,2.0,1.0,50000.0,0.0,1,1,0,39.0,3,1,1,333.0,0.0
30.0,49.0,3.0,1.0,2.0,1.0,50000.0,0.0,2,0,0,10.0,2,0,2,165.0,0.0
31.0,15.0,1.0,0.0,0.0,0.0,16000.0,0.0,0,1,0,49.0,3,1,0,-1.0,-1.0
32.0,46.0,1.0,0.0,0.0,0.0,16000.0,0.0,0,1,0,49.0,3,1,1,506.0,0.0
33.0,62.0,5.0,2.0,3.0,1.0,105000.0,0.0,0,1,1,31.0,3,1,1,324.0,0.0
33.0,62.0,5.0,2.0,3.0,1.0,105000.0,0.0,1,1,0,28.0,3,1,1,879.0,0.0
33.0,62.0,5.0,2.0,3.0,1.0,105000.0,0.0,2,1,1,31.0,3,2,1,280.0,0.0
33.0,62.0,5.0,2.0,3.0,1.0,105000.0,0.0,3,0,1,2.0,2,0,2,391.0,0.0
33.0,62.0,5.0,2.0,3.0,1.0,105000.0,0.0,4,0,0,5.0,2,0,2,285.0,0.0
34.0,47.0,5.0,1.0,3.0,1.0,30000.0,1.0,0,1,0,35.0,3,1,1,689.0,0.0
34.0,47.0,5.0,1.0,3.0,1.0,30000.0,1.0,1,1,1,34.0,3,1,1,405.0,3.0
34.0,47.0,5.0,1.0,3.0,1.0,30000.0,1.0,2,1,0,33.0,3,1,1,384.0,0.0
34.0,47.0,5.0,1.0,3.0,1.0,30000.0,1.0,3,1,0,35.0,1,0,5,14.0,0.0
34.0,47.0,5.0,1.0,3.0,1.0,30000.0,1.0,4,0,0,8.0,2,0,2,87.0,0.0
35.0,42.0,3.0,0.0,3.0,1.0,45000.0,2.0,0,1,0,60.0,3,1,1,443.0,0.0
35.0,42.0,3.0,0.0,3.0,1.0,45000.0,2.0,1,1,0,57.0,3,1,1,769.0,0.0
35.0,42.0,3.0,0.0,3.0,1.0,45000.0,2.0,2,1,0,59.0,2,0,2,25.0,3.0
36.0,46.0,4.0,1.0,2.0,1.0,135000.0,1.0,0,1,1,27.0,3,1,1,709.0,3.0
36.0,46.0,4.0,1.0,2.0,1.0,135000.0,1.0,1,1,0,26.0,3,1,0,-1.0,-1.0
36.0,46.0,4.0,1.0,2.0,1.0,135000.0,1.0,2,1,1,26.0,3,1,1,189.0,3.0
36.0,46.0,4.0,1.0,2.0,1.0,135000.0,1.0,3,0,0,2.0,2,0,2,223.0,0.0
37.0,63.0,3.0,0.0,3.0,1.0,85000.0,0.0,0,1,0,68.0,3,2,1,727.0,0.0
37.0,63.0,3.0,0.0,3.0,1.0,85000.0,0.0,1,1,0,67.0,3,1,1,464.0,0.0
37.0,63.0,3.0,0.0,3.0,1.0,85000.0,0.0,2,1,0,68.0,3,1,1,49.0,0.0
38.0,63.0,5.0,4.0,0.0,0.0,24000.0,0.0,0,1,1,21.0,3,1,1,212.0,0.0
38.0,63.0,5.0,4.0,0.0,0.0,24000.0,0.0,1,0,1,6.0,2,0,2,96.0,0.0
38.0,63.0,5.0,4.0,0.0,0.0,24000.0,0.0,2,0,0,12.0,2,0,2,318.0,0.0
38.0,63.0,5.0,4.0,0.0,0.0,24000.0,0.0,3,0,1,10.0,2,0,2,361.0,0.0
38.0,63.0,5.0,4.0,0.0,0.0,24000.0,0.0,4,0,0,12.0,2,0,2,110.0,0.0
39.0,42.0,2.0,0.0,0.0,0.0,17000.0,1.0,0,1,1,58.0,0,0,4,73.0,0.0
39.0,42.0,2.0,0.0,0.0,0.0,17000.0,1.0,1,1,0,58.0,0,0,3,779.0,3.0
40.0,62.0,4.0,2.0,1.0,1.0,95000.0,0.0,0,1,1,18.0,2,0,2,281.0,0.0
40.0,62.0,4.0,2.0,1.0,1.0,95000.0,0.0,1,1,1,19.0,1,0,0,-1.0,-1.0
40.0,62.0,4.0,2.0,1.0,1.0,95000.0,0.0,2,0,1,1.0,2,0,2,24.0,3.0
40.0,62.0,4.0,2.0,1.0,1.0,95000.0,0.0,3,0,1,5.0,2,0,0,-1.0,-1.0
41.0,62.0,5.0,2.0,1.0,1.0,75000.0,0.0,0,1,1,29.0,3,1,1,930.0,0.0
41.0,62.0,5.0,2.0,1.0,1.0,75000.0,0.0,1,1,0,30.0,3,1,1,461.0,0.0
41.0,62.0,5.0,2.0,1.0,1.0,75000.0,0.0,2,1,1,30.0,3,1,1,467.0,0.0
41.0,62.0,5.0,2.0,1.0,1.0,75000.0,0.0,3,0,1,5.0,2,0,0,-1.0,-1.0
41.0,62.0,5.0,2.0,1.0,1.0,75000.0,0.0,4,0,0,8.0,2,0,2,169.0,0.0
42.0,41.0,5.0,0.0,3.0,1.0,100000.0,3.0,0,1,0,51.0,3,1,1,825.0,0.0
42.0,41.0,5.0,0.0,3.0,1.0,100000.0,3.0,1,1,0,49.0,3,1,1,580.0,0.0
42.0,41.0,5.0,0.0,3.0,1.0,100000.0,3.0,2,1,0,50.0,3,2,1,504.0,3.0
42.0,41.0,5.0,0.0,3.0,1.0,100000.0,3.0,3,1,2,47.0,3,2,1,842.0,0.0
42.0,41.0,5.0,0.0,3.0,1.0,100000.0,3.0,4,1,0,46.0,3,2,1,651.0,2.0
43.0,46.0,4.0,1.0,1.0,1.0,40000.0,0.0,0,1,1,29.0,3,1,1,168.0,0.0
43.0,46.0,4.0,1.0,1.0,1.0,40000.0,0.0,1,1,1,30.0,1,0,0,-1.0,-1.0
43.0,46.0,4.0,1.0,1.0,1.0,40000.0,0.0,2,1,0,29.0,3,1,1,171.0,0.0
43.0,46.0,4.0,1.0,1.0,1.0,40000.0,0.0,3,0,1,14.0,2,0,2,314.0,0.0
44.0,42.0,5.0,0.0,2.0,1.0,55000.0,0.0,0,1,0,51.0,3,1,1,398.0,3.0
44.0,42.0,5.0,0.0,2.0,1.0,55000.0,0.0,1,1,1,50.0,3,1,1,482.0,2.0
44.0,42.0,5.0,0.0,2.0,1.0,55000.0,0.0,2,1,0,52.0,0,0,5,7.0,0.0
44.0,42.0,5.0,0.0,2.0,1.0,55000.0,0.0,3,1,1,53.0,0,0,4,433.0,0.0
44.0,42.0,5.0,0.0,2.0,1.0,55000.0,0.0,4,1,0,52.0,0,0,3,26.0,0.0
45.0,39.0,4.0,1.0,2.0,1.0,40000.0,1.0,0,1,1,29.0,3,1,1,268.0,3.0
45.0,39.0,4.0,1.0,2.0,1.0,40000.0,1.0,1,1,1,28.0,3,2,1,809.0,1.0
45.0,39.0,4.0,1.0,2.0,1.0,40000.0,1.0,2,1,1,31.0,3,1,1,162.0,0.0
45.0,39.0,4.0,1.0,2.0,1.0,40000.0,1.0,3,0,2,4.0,2,0,2,35.0,0.0
46.0,42.0,4.0,0.0,1.0,1.0,30000.0,3.0,0,1,0,64.0,3,2,1,383.0,3.0
46.0,42.0,4.0,0.0,1.0,1.0,30000.0,3.0,1,1,0,63.0,0,0,0,-1.0,-1.0
46.0,42.0,4.0,0.0,1.0,1.0,30000.0,3.0,2,1,0,65.0,0,0,5,72.0,1.0
46.0,42.0,4.0,0.0,1.0,1.0,30000.0,3.0,3,1,0,63.0,0,0,5,75.0,3.0
47.0,42.0,3.0,1.0,1.0,1.0,35000.0,2.0,0,1,1,38.0,3,1,1,510.0,0.0
47.0,42.0,3.0,1.0,1.0,1.0,35000.0,2.0,1,1,0,36.0,1,0,5,81.0,0.0
47.0,42.0,3.0,1.0,1.0,1.0,35000.0,2.0,2,0,0,6.0,2,0,2,22.0,2.0
48.0,42.0,3.0,0.0,3.0,1.0,35000.0,0.0,0,1,1,55.0,3,1,1,573.0,0.0
48.0,42.0,3.0,0.0,3.0,1.0,35000.0,0.0,1,1,0,59.0,3,1,1,759.0,3.0
48.0,42.0,3.0,0.0,3.0,1.0,35000.0,0.0,2,1,0,58.0,3,2,1,327.0,0.0
49.0,48.0,2.0,0.0,0.0,0.0,17000.0,1.0,0,1,0,68.0,0,0,3,766.0,3.0
49.0,48.0,2.0,0.0,0.0,0.0,17000.0,1.0,1,1,1,71.0,0,0,0,-1.0,-1.0
50.0,41.0,4.0,1.0,3.0,1.0,45000.0,0.0,0,1,0,25.0,3,1,1,509.0,0.0
50.0,41.0,4.0,1.0,3.0,1.0,45000.0,0.0,1,1,0,28.0,3,1,5,86.0,0.0
50.0,41.0,4.0,1.0,3.0,1.0,45000.0,0.0,2,1,1,25.0,3,1,1,640.0,0.0
50.0,41.0,4.0,1.0,3.0,1.0,45000.0,0.0,3,0,0,7.0,2,0,2,106.0,1.0
51.0,62.0,1.0,0.0,1.0,1.0,45000.0,1.0,0,1,1,38.0,3,1,1,257.0,0.0
52.0,46.0,5.0,3.0,1.0,1.0,90000.0,0.0,0,1,0,22.0,3,1,1,515.0,0.0
52.0,46.0,5.0,3.0,1.0,1.0,90000.0,0.0,1,1,0,23.0,3,1,1,556.0,0.0
52.0,46.0,5.0,3.0,1.0,1.0,90000.0,0.0,2,0,1,9.0,2,0,2,11.0,0.0
52.0,46.0,5.0,3.0,1.0,1.0,90000.0,0.0,3,0,1,12.0,2,0,2,80.0,0.0
52.0,46.0,5.0,3.0,1.0,1.0,90000.0,0.0,4,0,1,6.0,2,0,2,6.0,0.0
53.0,42.0,4.0,0.0,3.0,1.0,75000.0,1.0,0,1,0,59.0,3,1,1,767.0,0.0
53.0,42.0,4.0,0.0,3.0,1.0,75000.0,1.0,1,1,1,59.0,3,1,1,565.0,2.0
53.0,42.0,4.0,0.0,3.0,1.0,75000.0,1.0,2,1,1,59.0,3,1,1,64.0,0.0
53.0,42.0,4.0,0.0,3.0,1.0,75000.0,1.0,3,1,0,62.0,0,0,0,-1.0,-1.0
54.0,49.0,2.0,0.0,2.0,1.0,70000.0,1.0,0,1,0,59.0,3,1,1,970.0,0.0
54.0,49.0,2.0,0.0,2.0,1.0,70000.0,1.0,1,1,0,57.0,3,2,1,307.0,0.0
55.0,42.0,2.0,1.0,1.0,1.0,45000.0,0.0,0,1,1,41.0,3,2,1,341.0,0.0
55.0,42.0,2.0,1.0,1.0,1.0,45000.0,0.0,1,0,1,9.0,2,0,2,24.0,0.0
56.0,42.0,2.0,0.0,2.0,1.0,50000.0,0.0,0,1,0,54.0,3,1,1,444.0,0.0
56.0,42.0,2.0,0.0,2.0,1.0,50000.0,0.0,1,1,0,56.0,3,1,1,191.0,0.0
57.0,42.0,5.0,2.0,2.0,1.0,90000.0,1.0,0,1,1,34.0,3,2,1,872.0,3.0
57.0,42.0,5.0,2.0,2.0,1.0,90000.0,1.0,1,1,0,31.0,3,1,1,660.0,2.0
57.0,42.0,5.0,2.0,2.0,1.0,90000.0,1.0,2,1,1,33.0,1,0,5,68.0,0.0
57.0,42.0,5.0,2.0,2.0,1.0,90000.0,1.0,3,0,0,3.0,2,0,2,466.0,3.0
57.0,42.0,5.0,2.0,2.0,1.0,90000.0,1.0,4,0,1,15.0,2,0,2,218.0,0.0
58.0,50.0,3.0,0.0,0.0,0.0,18000.0,1.0,0,1,1,70.0,0,0,0,-1.0,-1.0
58.0,50.0,3.0,0.0,0.0,0.0,18000.0,1.0,1,1,1,69.0,0,0,3,600.0,2.0
58.0,50.0,3.0,0.0,0.0,0.0,18000.0,1.0,2,1,0,69.0,0,0,0,-1.0,-1.0
59.0,50.0,1.0,0.0,0.0,0.0,16000.0,1.0,0,1,1,59.0,0,0,0,-1.0,-1.0
60.0,46.0,2.0,0.0,2.0,1.0,70000.0,1.0,0,1,0,54.0,3,1,1,868.0,0.0
60.0,46.0,2.0,0.0,2.0,1.0,70000.0,1.0,1,1,0,56.0,3,2,1,814.0,3.0
61.0,46.0,4.0,2.0,2.0,1.0,40000.0,0.0,0,1,0,43.0,3,1,1,512.0,0.0
61.0,46.0,4.0,2.0,2.0,1.0,40000.0,0.0,1,1,1,40.0,3,1,0,-1.0,-1.0
61.0,46.0,4.0,2.0,2.0,1.0,40000.0,0.0,2,0,0,9.0,2,0,2,457.0,0.0
61.0,46.0,4.0,2.0,2.0,1.0,40000.0,0.0,3,0,1,13.0,2,0,2,368.0,0.0
62.0,47.0,4.0,3.0,1.0,1.0,30000.0,0.0,0,1,1,21.0,3,1,1,607.0,0.0
62.0,47.0,4.0,3.0,1.0,1.0,30000.0,0.0,1,0,1,8.0,2,0,2,463.0,0.0
62.0,47.0,4.0,3.0,1.0,1.0,30000.0,0.0,2,0,0,5.0,2,0,2,158.0,0.0
62.0,47.0,4.0,3.0,1.0,1.0,30000.0,0.0,3,0,0,5.0,2,0,2,155.0,0.0
63.0,46.0,1.0,0.0,1.0,1.0,30000.0,1.0,0,1,0,68.0,3,1,1,177.0,1.0
64.0,42.0,3.0,0.0,1.0,1.0,130000.0,3.0,0,1,0,65.0,3,1,5,55.0,2.0
64.0,42.0,3.0,0.0,1.0,1.0,130000.0,3.0,1,1,0,64.0,0,0,3,703.0,0.0
64.0,42.0,3.0,0.0,1.0,1.0,130000.0,3.0,2,1,0,64.0,0,0,0,-1.0,-1.0
65.0,46.0,5.0,0.0,2.0,1.0,145000.0,2.0,0,1,0,51.0,3,2,1,744.0,0.0
65.0,46.0,5.0,0.0,2.0,1.0,145000.0,2.0,1,1,0,47.0,3,1,1,813.0,2.0
65.0,46.0,5.0,0.0,2.0,1.0,145000.0,2.0,2,1,1,48.0,3,1,1,660.0,0.0
65.0,46.0,5.0,0.0,2.0,1.0,145000.0,2.0,3,1,0,47.0,1,0,0,-1.0,-1.0
65.0,46.0,5.0,0.0,2.0,1.0,145000.0,2.0,4,1,1,48.0,1,0,3,561.0,2.0
66.0,42.0,4.0,0.0,2.0,1.0,30000.0,0.0,0,1,1,56.0,3,1,1,44.0,0.0
66.0,42.0,4.0,0.0,2.0,1.0,30000.0,0.0,1,1,1,56.0,3,1,1,671.0,0.0
66.0,42.0,4.0,0.0,2.0,1.0,30000.0,0.0,2,1,0,57.0,0,0,0,-1.0,-1.0
66.0,42.0,4.0,0.0,2.0,1.0,30000.0,0.0,3,1,1,56.0,0,0,4,400.0,0.0
67.0,42.0,4.0,0.0,2.0,1.0,55000.0,1.0,0,1,0,54.0,3,1,1,733.0,0.0
67.0,42.0,4.0,0.0,2.0,1.0,55000.0,1.0,1,1,1,52.0,3,1,1,747.0,0.0
67.0,42.0,4.0,0.0,2.0,1.0,55000.0,1.0,2,1,0,55.0,0,0,0,-1.0,-1.0
67.0,42.0,4.0,0.0,2.0,1.0,55000.0,1.0,3,1,0,54.0,0,0,5,42.0,0.0
68.0,46.0,4.0,1.0,2.0,1.0,35000.0,0.0,0,1,1,29.0,3,1,1,754.0,0.0
68.0,46.0,4.0,1.0,2.0,1.0,35000.0,0.0,1,1,0,28.0,3,1,1,524.0,0.0
68.0,46.0,4.0,1.0,2.0,1.0,35000.0,0.0,2,1,1,30.0,3,1,1,925.0,0.0
68.0,46.0,4.0,1.0,2.0,1.0,35000.0,0.0,3,0,1,10.0,2,0,0,-1.0,-1.0
69.0,41.0,2.0,0.0,1.0,1.0,55000.0,2.0,0,1,1,72.0,3,1,1,90.0,0.0
69.0,41.0,2.0,0.0,1.0,1.0,55000.0,2.0,1,1,0,72.0,0,0,0,-1.0,-1.0
70.0,52.0,5.0,1.0,3.0,1.0,30000.0,0.0,0,1,1,24.0,3,1,1,619.0,0.0
70.0,52.0,5.0,1.0,3.0,1.0,30000.0,0.0,1,1,0,24.0,3,2,1,20.0,0.0
70.0,52.0,5.0,1.0,3.0,1.0,30000.0,0.0,2,1,0,23.0,3,1,1,641.0,0.0
70.0,52.0,5.0,1.0,3.0,1.0,30000.0,0.0,3,1,0,26.0,3,1,1,26.0,0.0
70.0,52.0,5.0,1.0,3.0,1.0,30000.0,0.0,4,0,0,9.0,2,0,2,288.0,0.0
71.0,46.0,3.0,1.0,2.0,1.0,20000.0,2.0,0,1,0,46.0,3,1,1,703.0,0.0
71.0,46.0,3.0,1.0,2.0,1.0,20000.0,2.0,1,1,0,42.0,3,1,1,667.0,0.0
71.0,46.0,3.0,1.0,2.0,1.0,20000.0,2.0,2,0,1,7.0,2,0,2,140.0,0.0
